,Unnamed: 0,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1,2,ATL,2,2014-11-01,Home,IND,W,102,92,35,69,0.507,7,20,0.35,25,33,0.758,3,37,26,10,6,12,20,31,81,0.383,12,32,0.375,18,21,0.857,11,44,25,5,5,18,26
4,5,ATL,5,2014-11-08,Home,NYK,W,103,96,33,81,0.407,9,22,0.409,28,36,0.778,12,41,18,10,5,8,17,40,84,0.476,8,21,0.381,8,11,0.727,13,44,26,2,6,15,29
6,7,ATL,7,2014-11-12,Home,UTA,W,100,97,39,76,0.513,9,20,0.45,13,18,0.722,13,46,23,8,4,18,12,43,86,0.5,5,23,0.217,6,12,0.5,8,30,28,12,8,11,17
7,8,ATL,8,2014-11-14,Home,MIA,W,114,103,42,75,0.56,11,28,0.393,19,23,0.826,3,36,33,10,5,13,20,35,74,0.473,10,21,0.476,23,25,0.92,5,32,27,10,3,14,20
9,10,ATL,10,2014-11-18,Home,LAL,L,109,114,41,85,0.482,9,27,0.333,18,23,0.783,13,38,22,7,3,10,17,47,87,0.54,6,17,0.353,14,22,0.636,13,44,24,7,0,11,24
10,11,ATL,11,2014-11-21,Home,DET,W,99,89,38,80,0.475,5,24,0.208,18,26,0.692,8,46,20,7,5,9,18,31,83,0.373,4,21,0.19,23,24,0.958,13,45,12,6,3,12,20
12,13,ATL,13,2014-11-26,Home,TOR,L,115,126,42,82,0.512,10,24,0.417,21,24,0.875,9,32,31,2,4,13,24,42,82,0.512,14,29,0.483,28,33,0.848,11,36,24,7,7,11,24
13,14,ATL,14,2014-11-28,Home,NOP,W,100,91,38,76,0.5,5,17,0.294,19,22,0.864,11,42,26,6,7,18,14,36,89,0.404,7,24,0.292,12,16,0.75,16,42,23,8,4,12,19
14,15,ATL,15,2014-11-29,Home,CHO,W,105,75,40,75,0.533,12,23,0.522,13,16,0.813,5,44,31,8,5,12,17,29,88,0.33,5,23,0.217,12,16,0.75,13,38,20,3,4,12,16
15,16,ATL,16,2014-12-02,Home,BOS,W,109,105,43,82,0.524,11,24,0.458,12,14,0.857,4,31,36,8,8,16,14,41,84,0.488,12,23,0.522,11,13,0.846,9,42,33,10,3,21,20
18,19,ATL,19,2014-12-07,Home,DEN,W,96,84,36,87,0.414,10,27,0.37,14,19,0.737,11,43,26,9,4,12,15,34,93,0.366,6,35,0.171,10,13,0.769,16,52,25,9,4,14,22
