,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,cluster
0.1,85.0,95.0,32.0,75.0,0.378,4.0,16.0,0.207,9.200000000000003,14.0,0.6158,6.0,34.0,15.0,4.0,1.0,8.0,13.0,36.0,75.0,0.438,6.0,17.0,0.3044,8.0,11.0,0.625,5.0,36.0,19.0,4.0,2.0,8.0,14.0,0
0.3,92.0,101.0,34.0,80.0,0.41,6.0,20.0,0.27,13.0,18.0,0.7071999999999999,8.0,38.0,18.0,5.599999999999966,3.0,11.0,16.0,39.0,80.0,0.4656,9.0,22.0,0.364,11.0,15.0,0.7115999999999998,7.0,40.0,22.0,6.0,3.0,11.0,17.0,0
0.5,97.0,105.0,36.0,83.0,0.435,7.0,24.0,0.313,16.0,21.0,0.765,10.0,41.0,20.0,7.0,4.0,13.0,17.0,40.0,83.0,0.484,10.0,26.0,0.409,14.0,18.0,0.769,9.0,43.0,24.0,7.0,5.0,13.0,19.0,0
0.7,100.0,109.0,38.0,87.0,0.455,9.0,27.0,0.355,19.0,25.0,0.818,12.0,44.0,22.399999999999977,8.0,5.0,15.0,19.0,42.0,86.0,0.506,12.0,29.0,0.448,16.0,21.0,0.826,10.0,46.0,26.0,9.0,6.0,15.0,21.0,0
0.9,106.0,116.0,41.0,92.0,0.488,11.0,33.0,0.41860000000000014,23.0,29.0,0.885,15.0,48.0,25.0,11.0,7.0,18.0,22.0,45.0,91.0,0.5398000000000001,15.0,35.0,0.519,20.0,25.800000000000068,0.9,13.0,51.0,30.0,11.0,8.0,18.0,24.0,0
0.1,100.0,99.0,34.0,75.0,0.402,5.0,17.0,0.25,16.0,22.0,0.667,6.0,35.0,17.0,4.0,2.0,10.0,19.900000000000006,34.0,75.0,0.402,5.0,17.0,0.2569,17.0,22.0,0.667,6.0,34.0,17.0,5.0,2.0,10.0,20.0,1
0.3,106.0,105.0,37.0,80.0,0.44,7.0,22.0,0.31,20.0,26.0,0.7327,9.0,40.0,20.69999999999999,7.0,3.0,12.0,22.0,37.0,80.0,0.436,8.0,22.69999999999999,0.313,20.69999999999999,26.0,0.739,8.0,39.0,20.0,7.0,3.0,12.0,22.0,1
0.5,111.0,110.0,39.0,84.0,0.464,9.0,25.0,0.35,23.0,30.0,0.778,10.0,43.0,23.0,8.0,5.0,14.0,24.0,39.0,84.0,0.461,9.0,26.0,0.355,23.0,30.0,0.792,10.0,43.0,22.0,8.0,4.0,14.0,25.0,1
0.7,115.0,114.0,41.0,88.0,0.488,10.0,28.0,0.394,26.0,34.0,0.818,12.0,46.0,25.0,9.0,6.0,16.0,26.0,41.0,88.0,0.484,11.0,29.0,0.407,26.0,34.0,0.829,12.0,46.0,24.0,10.0,6.0,16.0,26.0,1
0.9,122.0,122.0,44.0,94.0,0.526,13.0,33.0,0.462,31.0,39.0,0.88,16.0,52.0,28.0,12.0,8.0,20.0,29.0,44.0,94.0,0.5181,13.0,34.0,0.474,30.0,38.0,0.885,16.0,52.0,28.0,12.0,8.0,20.0,29.0,1
0.1,107.0,103.0,39.0,79.0,0.441,8.0,21.0,0.313,11.0,14.0,0.6327,5.0,35.0,21.0,4.0,2.0,8.700000000000003,14.0,38.0,81.0,0.425,7.0,21.0,0.296,10.0,13.0,0.632,5.0,34.0,20.0,4.0,1.0,8.0,15.0,2
