game_id,team_name,datetime,is_regular,season_start_year,opponent,home,win,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,FG%,FT%,3P%,Opp.FG,Opp.FGA,Opp.3P,Opp.3PA,Opp.FT,Opp.FTA,Opp.ORB,Opp.DRB,Opp.TRB,Opp.AST,Opp.STL,Opp.BLK,Opp.TOV,Opp.PF,Opp.PTS,Opp.+/-,Opp.FG%,Opp.FT%,Opp.3P%,cluster,distance_to_centroid
97557d5a-95e0-4711-95ea-52e445f5074c,Phoenix Suns,2014-12-15,1,2014,Milwaukee Bucks,Home,False,30.0,75.0,12.0,38.0,22.0,27.0,16.0,26.0,42.0,17.0,12.0,5.0,20.0,24.0,94.0,-10.0,0.4,0.8148148148148148,0.3157894736842105,35.0,73.0,8.0,16.0,18.0,22.0,5.0,28.0,33.0,23.0,10.0,1.0,21.0,27.0,96.0,10.0,0.4794520547945205,0.8181818181818182,0.5,0,154.64630517447026
aa5ce473-2475-4673-ac91-0cef948eb9c3,Boston Celtics,2016-01-06,1,2015,Detroit Pistons,Home,False,34.0,91.0,6.0,28.0,20.0,27.0,13.0,26.0,39.0,23.0,5.0,5.0,10.0,28.0,94.0,-25.0,0.3736263736263736,0.7407407407407407,0.2142857142857142,33.0,74.0,10.0,27.0,23.0,36.0,11.0,36.0,47.0,18.0,4.0,5.0,18.0,27.0,99.0,25.0,0.4459459459459459,0.6388888888888888,0.3703703703703703,0,157.61143771682305
21475905-87da-434b-be9e-e0d12b9a79ae,Memphis Grizzlies,2017-04-27,0,2016,San Antonio Spurs,Home,False,32.0,71.0,12.0,27.0,20.0,24.0,7.0,21.0,28.0,15.0,4.0,1.0,11.0,26.0,96.0,-35.0,0.4507042253521127,0.8333333333333334,0.4444444444444444,37.0,77.0,7.0,20.0,22.0,25.0,16.0,30.0,46.0,13.0,4.0,0.0,12.0,20.0,103.0,35.0,0.4805194805194805,0.88,0.35,0,157.8184620084574
bc29943e-6481-4541-bda1-ce40be8e2e87,Philadelphia 76ers,2014-12-05,1,2014,Oklahoma City Thunder,Home,False,32.0,84.0,8.0,28.0,19.0,30.0,19.0,25.0,44.0,25.0,13.0,2.0,17.0,24.0,91.0,-70.0,0.3809523809523809,0.6333333333333333,0.2857142857142857,35.0,71.0,9.0,23.0,24.0,31.0,6.0,34.0,40.0,27.0,7.0,8.0,16.0,24.0,103.0,70.0,0.4929577464788732,0.7741935483870968,0.391304347826087,0,158.1312881649072
48e32a7e-b46e-460c-b4aa-acb613569230,Indiana Pacers,2015-01-27,1,2014,Toronto Raptors,Home,False,34.0,82.0,7.0,18.0,16.0,23.0,11.0,32.0,43.0,22.0,4.0,3.0,14.0,22.0,91.0,-65.0,0.4146341463414634,0.6956521739130435,0.3888888888888889,34.0,73.0,9.0,26.0,27.0,34.0,8.0,34.0,42.0,21.0,9.0,6.0,10.0,27.0,104.0,65.0,0.4657534246575342,0.7941176470588235,0.3461538461538461,0,158.862569715919
0064340b-5638-45dd-a408-bb300057bc21,Utah Jazz,2016-11-14,1,2016,Memphis Grizzlies,Home,False,35.0,73.0,8.0,28.0,18.0,22.0,6.0,23.0,29.0,17.0,8.0,1.0,8.0,27.0,96.0,-30.0,0.4794520547945205,0.8181818181818182,0.2857142857142857,36.0,76.0,8.0,21.0,22.0,26.0,14.0,30.0,44.0,13.0,4.0,2.0,16.0,26.0,102.0,30.0,0.4736842105263157,0.8461538461538461,0.3809523809523809,0,158.94007873766995
29b04de6-4d98-472f-8e97-7c9322f7c006,Golden State Warriors,2015-06-14,0,2014,Cleveland Cavaliers,Home,True,36.0,75.0,12.0,26.0,20.0,34.0,11.0,32.0,43.0,25.0,7.0,2.0,16.0,25.0,104.0,65.0,0.48,0.5882352941176471,0.4615384615384615,32.0,81.0,12.0,35.0,15.0,21.0,10.0,27.0,37.0,17.0,10.0,4.0,10.0,28.0,91.0,-65.0,0.3950617283950617,0.7142857142857143,0.3428571428571428,0,159.34451973552123
074c7124-6e1f-4a40-aedf-dfc490964c6a,Miami Heat,2014-12-27,1,2014,Memphis Grizzlies,Home,False,37.0,72.0,6.0,20.0,15.0,21.0,7.0,26.0,33.0,18.0,10.0,4.0,13.0,26.0,95.0,-40.0,0.5138888888888888,0.7142857142857143,0.3,34.0,73.0,7.0,16.0,28.0,37.0,9.0,23.0,32.0,22.0,10.0,5.0,13.0,22.0,103.0,40.0,0.4657534246575342,0.7567567567567568,0.4375,0,159.40141813505883
a0e30332-840f-48e2-ae22-b8f9866d57da,Los Angeles Clippers,2015-12-02,1,2015,Indiana Pacers,Home,False,30.0,79.0,6.0,27.0,25.0,39.0,10.0,30.0,40.0,19.0,4.0,2.0,15.0,31.0,91.0,-60.0,0.379746835443038,0.6410256410256411,0.2222222222222222,32.0,76.0,7.0,20.0,32.0,39.0,9.0,38.0,47.0,16.0,7.0,6.0,14.0,26.0,103.0,60.0,0.4210526315789473,0.8205128205128205,0.35,0,159.4917864240538
1e1cf53c-a5ea-4397-9494-c419ab9f1a5e,Milwaukee Bucks,2014-12-05,1,2014,Miami Heat,Home,True,39.0,69.0,9.0,16.0,22.0,26.0,12.0,33.0,45.0,21.0,11.0,3.0,24.0,26.0,109.0,120.0,0.5652173913043478,0.8461538461538461,0.5625,30.0,68.0,7.0,18.0,18.0,27.0,3.0,17.0,20.0,21.0,16.0,3.0,18.0,22.0,85.0,-120.0,0.4411764705882353,0.6666666666666666,0.3888888888888889,0,159.84375442061966
