quantile,PTS,Opp.PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,+/-,Opp.FG,Opp.FGA,Opp.FG%,Opp.3P,Opp.3PA,Opp.3P%,Opp.FT,Opp.FTA,Opp.FT%,Opp.DRB,Opp.ORB,Opp.TRB,Opp.AST,Opp.STL,Opp.BLK,Opp.TOV,Opp.PF,Opp.+/-,cluster
0.7,88.0,86.0,33.0,84.0,0.41152777777777777,8.0,25.0,0.3333333333333333,16.0,22.0,0.8104166666666667,38.0,13.0,49.0,19.299999999999997,9.0,7.0,16.0,19.0,45.0,33.0,84.0,0.40776583034647546,7.299999999999997,25.0,0.3333333333333333,14.0,20.0,0.8,37.0,12.0,49.0,19.0,9.0,6.0,16.0,20.0,35.0,0
0.8,89.0,88.0,34.0,87.0,0.42927689594356255,9.0,27.0,0.3620740740740741,19.0,24.200000000000003,0.8333333333333334,40.0,13.200000000000003,51.0,21.0,10.0,8.0,17.0,20.0,65.0,34.0,87.0,0.4226435536294691,9.0,27.0,0.3642424242424242,16.0,21.0,0.8514285714285714,39.0,13.0,51.0,21.0,10.0,7.0,17.200000000000003,22.0,50.0,0
0.9,92.0,91.1,35.099999999999994,89.1,0.4444444444444444,10.0,30.0,0.4,21.0,28.0,0.8577922077922077,42.0,16.0,54.0,23.0,11.0,9.099999999999994,19.0,21.099999999999994,90.0,36.0,89.0,0.44627888758323536,10.0,29.0,0.40680147058823524,18.0,23.099999999999994,0.8894736842105262,41.099999999999994,15.0,53.0,23.099999999999994,11.0,9.0,19.0,24.0,70.99999999999994,0
0.7,90.0,103.3,35.0,84.0,0.4285714285714285,8.0,26.0,0.3333333333333333,15.0,20.0,0.8104166666666667,31.0,12.0,42.3,20.299999999999997,8.0,5.0,15.0,19.0,-45.0,40.0,83.0,0.5062197218315362,11.0,28.0,0.4642857142857143,15.0,20.0,0.8181818181818182,37.0,11.0,47.0,26.0,9.0,6.0,16.0,20.0,95.0,1
0.8,91.0,105.0,36.0,86.0,0.4450292397660819,9.0,28.200000000000003,0.3684210526315789,17.0,22.0,0.8346666666666667,32.2,13.0,44.2,22.0,9.0,6.0,17.0,19.0,-35.0,41.0,84.0,0.5182552996797316,13.0,30.0,0.5,17.0,21.0,0.840421052631579,38.0,12.0,48.0,27.0,10.0,7.0,17.0,21.0,111.00000000000001,1
0.9,92.1,107.0,37.0,89.0,0.4556962025316455,10.0,33.0,0.4119675456389452,18.099999999999994,25.0,0.8823529411764706,34.099999999999994,15.099999999999994,47.0,23.0,11.0,7.0,18.0,21.0,-10.0,43.0,88.0,0.5394736842105263,14.0,33.0,0.5505555555555556,18.099999999999994,24.0,0.9,40.0,14.0,50.0,29.099999999999994,12.0,9.0,19.0,22.0,140.0,1
0.7,115.0,110.0,43.0,86.0,0.5256410256410257,14.0,32.0,0.5,18.0,23.0,0.8260869565217391,33.0,10.0,41.0,29.0,9.0,6.0,15.0,20.0,45.0,43.0,87.0,0.5067793427230047,13.0,30.0,0.4592948717948718,17.0,22.0,0.8142045454545455,33.0,10.0,42.3,27.0,9.0,5.0,15.299999999999997,21.0,-5.0,2
0.8,116.0,113.0,44.0,89.0,0.5408661673721915,15.0,34.2,0.5188148148148148,19.0,25.0,0.8571428571428571,33.2,11.0,43.0,30.0,10.0,7.0,17.0,21.0,55.0,43.0,87.0,0.5173225152129818,14.0,33.0,0.4885714285714286,18.0,24.0,0.85,34.0,12.0,44.0,28.0,10.0,6.0,17.0,22.0,25.0,2
0.9,117.0,115.0,46.0,91.0,0.56,17.0,37.099999999999994,0.5483870967741935,21.0,27.0,0.8888888888888888,35.0,13.0,45.099999999999994,32.0,12.0,8.0,18.0,23.0,70.49999999999997,44.099999999999994,92.0,0.534340354767184,15.0,35.0,0.5219461697722567,22.0,27.0,0.8888888888888888,36.0,13.099999999999994,46.0,30.0,11.0,7.0,19.0,23.0,40.0,2
0.7,103.0,88.0,41.0,84.0,0.5,12.0,28.0,0.46236263736263733,13.0,18.0,0.8181818181818182,38.0,10.0,47.0,26.0,10.0,6.0,15.0,19.0,96.49999999999999,34.0,85.0,0.4230769230769231,8.0,28.0,0.3333333333333333,15.0,21.0,0.7868421052631579,33.0,12.0,44.0,21.0,9.0,5.0,16.0,17.0,-55.0,3
0.8,104.0,90.0,41.0,86.0,0.5125,13.0,31.0,0.5,15.0,20.0,0.8584415584415584,40.0,11.0,48.2,28.0,10.0,7.0,16.0,20.200000000000003,115.0,35.0,87.0,0.441618846270009,9.0,31.0,0.3533206831119544,17.0,22.0,0.8254901960784313,35.0,13.0,45.0,22.0,10.0,5.0,17.0,19.0,-40.0,3
0.9,105.1,93.0,43.0,89.0,0.5250641025641026,15.0,34.099999999999994,0.5335714285714286,17.0,22.0,0.9098484848484849,42.0,12.0,51.0,29.099999999999994,12.0,8.099999999999994,18.0,23.0,145.0,36.099999999999994,90.0,0.4578815261044176,11.0,33.0,0.3825791855203619,18.0,25.099999999999994,0.8888888888888888,36.0,15.0,47.0,24.0,11.0,6.099999999999994,19.0,20.0,-24.50000000000003,3
0.7,106.0,103.0,38.0,83.3,0.46935891715008177,11.0,29.0,0.3888888888888889,25.0,33.0,0.8,34.0,11.0,45.0,24.0,9.0,6.0,16.0,25.0,35.0,37.0,83.0,0.4625,10.0,28.0,0.3917701863354037,24.0,31.0,0.8293103448275861,34.3,12.0,46.0,22.0,9.0,6.0,16.0,26.0,10.0,4
0.8,106.0,105.0,39.0,86.0,0.4814814814814814,12.0,31.0,0.4137931034482758,27.0,35.0,0.8295238095238096,35.0,13.0,46.0,25.0,10.0,6.0,17.0,26.0,45.0,37.0,84.0,0.4756097560975609,12.0,30.0,0.4166666666666667,26.0,34.0,0.8466200466200466,36.0,14.0,47.0,23.0,10.0,7.0,18.0,28.0,30.0,4
0.9,108.0,107.1,39.0,88.0,0.5064935064935064,12.0,34.0,0.45,29.0,38.099999999999994,0.8713709677419355,38.0,14.099999999999994,47.0,26.0,11.0,9.0,19.0,28.0,55.49999999999997,39.0,87.0,0.4872115384615384,12.0,34.0,0.44499999999999995,28.0,37.0,0.880235294117647,38.0,15.099999999999994,51.0,24.0,12.0,8.0,20.0,29.0,50.0,4
