season_start_year,away_team,points_away,home_team,points_home,attendance,notes,start_ET,datetime,is_regular,game_id
1996,Sacramento Kings,85,Houston Rockets,96,16285.0,,,1996-11-01,1,36a784f4-225e-4a4d-a2b5-431dd5492874
1996,Los Angeles Clippers,97,Golden State Warriors,85,15593.0,,,1996-11-01,1,c1a6d128-38ec-4b83-91e1-1c2f96d7c46c
1996,Portland Trail Blazers,114,Vancouver Grizzlies,85,19193.0,,,1996-11-01,1,4fc8fcc0-2d71-4bcf-88b4-74207f00d50b
1996,Seattle SuperSonics,91,Utah Jazz,99,19911.0,,,1996-11-01,1,f3229597-e904-4fd7-8924-b532438df789
1996,New York Knicks,107,Toronto Raptors,99,28457.0,,,1996-11-01,1,569c5f07-a548-4f3f-a888-5a28b328215b
1996,Milwaukee Bucks,111,Philadelphia 76ers,103,20444.0,,,1996-11-01,1,38a8b1d0-b5ca-4767-8896-42874224edb3
1996,Washington Bullets,96,Orlando Magic,92,17248.0,,,1996-11-01,1,70b7d35b-79e3-4782-a40e-57a3d6c24712
1996,Phoenix Suns,82,Los Angeles Lakers,96,17505.0,,,1996-11-01,1,1fb9852d-4e15-4eb1-b037-56d0a46580e3
1996,San Antonio Spurs,78,Minnesota Timberwolves,82,18109.0,,,1996-11-01,1,a4e06957-8015-417b-b1bb-9cc3946b6496
1996,Atlanta Hawks,81,Miami Heat,94,15113.0,,,1996-11-01,1,cfa64fd2-0b23-4491-b3a3-12a083287549
1996,Chicago Bulls,107,Boston Celtics,98,18624.0,,,1996-11-01,1,d0ec1a86-3401-4296-a1f2-7ab71157cad5
1996,Cleveland Cavaliers,90,New Jersey Nets,77,18316.0,,,1996-11-01,1,4f0c2614-3311-41f7-8ff9-f36f1315984e
1996,Indiana Pacers,89,Detroit Pistons,95,21454.0,,,1996-11-01,1,79c6ba1f-afbf-4b37-9bd6-6c0418a589dd
1996,Dallas Mavericks,92,Denver Nuggets,91,16104.0,,,1996-11-01,1,19815350-1b24-4d3f-970e-cb1cb061002f
1996,Detroit Pistons,90,Atlanta Hawks,78,16378.0,,,1996-11-02,1,0879af52-110a-4196-aad1-a8049c64b387
1996,Toronto Raptors,98,Charlotte Hornets,109,24042.0,,,1996-11-02,1,0d4f699b-9307-4a4f-8f90-968587da33bb
1996,Philadelphia 76ers,86,Chicago Bulls,115,24040.0,,,1996-11-02,1,017597bc-d9a5-45d7-bb4d-6c55e4840a0f
1996,Sacramento Kings,107,Dallas Mavericks,94,18042.0,,,1996-11-02,1,afde32e1-7b3a-492f-9852-642bf63a472c
1996,Utah Jazz,95,Los Angeles Clippers,90,13041.0,,,1996-11-02,1,b41a448f-3281-41b2-8895-0dc0fb0a175d
1996,Boston Celtics,102,Milwaukee Bucks,124,17275.0,,,1996-11-02,1,f4245ab3-1544-4f24-b593-60c9e14c9f79
